1.A.11.1.1	ammonium|ammonia
1.A.11.1.4	ammonia
1.A.11.1.5	ammonia
1.A.11.1.9	ammonium
1.A.112.2.10	magnesium(2+)
1.A.112.2.4	magnesium(2+)|cobalt(2+)
1.A.112.2.7	magnesium(2+)|cobalt(2+)
1.A.11.2.5	ammonium|tetramethylammonium
1.A.11.2.7	ammonium|tetramethylammonium
1.A.11.2.9	ammonium
1.A.1.13.10	potassium(1+)|rubidium(1+)
1.A.11.3.3	ammonia|methylamine
1.A.1.13.3	calcium(2+)|magnesium(2+)|manganese(2+)|nickel(2+)
1.A.1.13.7	potassium(1+)
1.A.1.13.8	potassium(1+)
1.A.115.1.1	ion
1.A.1.17.1	potassium(1+)
1.A.1.17.2	potassium(1+)
1.A.1.20.7	potassium(1+)
1.A.1.20.8	ion
1.A.1.22.1	potassium(1+)
1.A.1.24.1	potassium(1+)
1.A.1.28.2	potassium(1+)
1.A.13.2.3	chloride
1.A.14.2.2	acetate
1.A.1.4.5	potassium(1+)
1.A.1.5.15	potassium(1+)
1.A.1.5.17	potassium(1+)
1.A.1.5.20	cation
1.A.1.5.31	potassium(1+)|inorganic cation
1.A.1.5.35	potassium(1+)
1.A.1.5.3	cation|inorganic cation
1.A.1.5.4	calcium(2+)|sodium(1+)
1.A.16.1.3	formate
1.A.16.2.1	formate
1.A.16.2.3	formate
1.A.16.3.3	hydrosulfide
1.A.23.1.1	ion|chloride|potassium(1+)|water
1.A.23.1.5	ion
1.A.23.3.4	L-glutamate(1-)
1.A.23.4.10	ion
1.A.23.4.12	ion
1.A.23.4.1	ion
1.A.23.4.2	ion
1.A.26.1.1	magnesium(2+)|cobalt(2+)
1.A.26.1.2	calcium(2+)|magnesium(2+)|manganese(2+)
1.A.26.1.6	magnesium(2+)
1.A.30.1.2	sodium(1+)
1.A.30.1.3	hydron
1.A.30.1.4	sodium(1+)
1.A.30.1.5	hydron
1.A.30.2.11	proton
1.A.30.2.1	sodium(1+)|hydron
1.A.30.2.3	hydron
1.A.30.2.7	hydron
1.A.30.2.9	hydron
1.A.30.3.1	hydron
1.A.33.1.2	ion
1.A.33.1.3	ion
1.A.35.3.5	magnesium(2+)|cobalt(2+)
1.A.43.1.7	fluoride
1.A.54.4.1	ion
1.A.54.4.2	cation
1.A.54.4.5	cation
1.A.54.5.1	cation
1.A.54.5.4	phospholipid
1.A.62.2.1	ion|cation|metabolite
1.A.62.2.4	calcium(2+)
1.A.6.2.2	calcium(2+)|sodium(1+)|cation
1.A.62.3.1	sodium(1+)|potassium(1+)
1.A.77.2.11	cation
1.A.79.2.1	double-stranded RNA
1.A.8.10.10	water
1.A.8.10.1	hydrogen peroxide|water|ammonia|urea|glycerol
1.A.8.10.2	water|ammonia|urea|glycerol|carbon dioxide
1.A.8.12.1	water|ammonia|glycerol
1.A.8.12.6	arsenite(3-)|borate
1.A.8.13.2	water|glycerol|carbon dioxide
1.A.8.2.1	glycerol
1.A.8.3.1	water
1.A.8.8.18	water
1.A.8.8.19	water
1.A.8.8.21	water
1.A.8.8.25	water
1.A.8.8.28	water
1.A.9.8.3	ion
1.A.9.9.3	ion|monoatomic monocation
1.B.12.9.1	water|molecule
1.B.14.10.2	molecule
1.B.14.10.3	molecule
1.B.14.10.5	long-chain alkane
1.B.14.1.23	molecule
1.B.14.1.25	nickel(2+)
1.B.14.14.1	thiamine(1+)
1.B.14.3.1	cyanocob(III)alamin
1.B.14.4.1	copper(2+)
1.B.14.6.12	molecule
1.B.14.6.1	maltooligosaccharide
1.B.14.6.5	molecule
1.B.16.2.3	molecule
1.B.17.2.2	cadmium(2+)|cobalt(2+)|zinc(2+)
1.B.18.3.3	glycosyl group
1.B.18.3.5	polysaccharide
1.B.18.3.7	exopolysaccharide
1.B.22.1.3	protein polypeptide chain
1.B.3.1.11	molecule
1.B.3.1.7	molecule
1.B.33.1.1	protein polypeptide chain
1.B.33.2.3	protein polypeptide chain
1.B.33.3.4	protein polypeptide chain
1.B.33.4.1	protein polypeptide chain
1.B.42.1.13	lipopolysaccharide
1.B.42.1.2	lipopolysaccharide
1.B.5.1.13	anion
1.B.5.1.3	molecule
1.B.60.1.6	molecule
1.B.6.1.2	molecule
1.B.6.2.12	molecule
1.B.67.1.6	molecule
1.B.76.1.4	copper(2+)
1.B.80.2.5	molecule
1.B.9.4.5	arene
1.C.109.1.5	molecule
1.C.113.1.2	molecule
1.C.126.1.4	magnesium(2+)
1.C.82.1.1	molecule
1.F.1.1.2	neurotransmitter
1.I.1.1.5	protein|(ribonucleotide)n+m
1.I.3.1.1	molecule|macromolecule
1.R.1.1.1	lipid
1.W.2.1.8	deoxyribonucleic acid
2.A.103.1.2	alpha-D-FucNAc4-(1->4)-beta-D-ManNAcA-(1->4)-D-GlcNAc-undecaprenyl diphosphate(3-)
2.A.103.1.3	alpha-D-FucNAc4-(1->4)-beta-D-ManNAcA-(1->4)-D-GlcNAc-undecaprenyl diphosphate(3-)
2.A.107.1.2	manganese(2+)
2.A.108.2.3	iron(2+)
2.A.109.1.1	tellurium atom
2.A.118.1.3	dicarboxylic acid dianion
2.A.119.1.6	cadmium(2+)|copper(2+)|zinc(2+)
2.A.1.2.10	hydron|diterpene|quinolone
2.A.12.1.5	GDP|GTP
2.A.1.2.24	chloramphenicol|fluoroquinolone antibiotic
2.A.123.2.13	UDP-sugar
2.A.123.2.6	glucose
2.A.123.2.8	UDP-sugar
2.A.1.2.41	tetracycline|tetracycline
2.A.1.25.5	beta-lactam antibiotic
