NDEV_0865	K01491
NKOR_06655	K01934
Nmar_1119	K01945
SU86_006110	K12410
T478_0924	K01870
T478_0926	K01903
SU86_000380	K01902
CENSYa_0108	K02927
NSED_00455	K03183
T478_0940	K03564
T478_0937	K08602
T478_0938	K02626
T478_0529	K05592
T478_0523	K06888
T478_0521	K13953
Nmar_1198	K06176
NPIRD3C_0903	K18235
NSED_06835	K04794
T478_0510	K17830
NADRNF5_0721	K03232
T478_0506	K02257
NMSP_0447	K21140
T478_0499	K15987
NMSP_0442	K09735
T478_0495	K03593
NPIRD3C_0876	K03049
SU86_000035	K03050
NSED_06935	K00767
T478_0492	K03517
T478_0473	K06989
T478_1016	K06915
T478_1017	K03547
T478_1019	K03546
SU86_008315	K10946
Nmar_1254	K02877
T478_1025	K00058
T478_1026	K00368
T478_1027	K01744
Nmar_1261	K15865
NKOR_07205	K03531
NKOR_07210	K02910
SU86_009160	K02924
NCAV_0620	K00549
NCAV_0622	K00549
T478_1037	K02050
T478_1039	K02049
T478_1040	K02051
NKOR_07260	K01940
NMSP_0404	K05826
T478_1043	K05827
NSED_07150	K05827
T478_1044	K05829
T478_1045	K05828
NSED_07165	K05830
NSED_07165	K05830
T478_1046	K05830
T478_1050	K05827
NPIRD3C_0828	K05831
NKOR_07315	K05831
NKOR_07315	K05831
NSED_07195	K20215
T478_1052	K20215
NMSP_1506	K18593
T478_1248	K14534
NKOR_00865	K13280
NADRNF5_2047	K03671
NMSP_1497	K01464
T478_1241	K01807
CENSYa_0036	K02922
NSED_00930	K04796
NSED_00935	K01470
NADRNF5_2037	K01433
Nmar_0224	K15778
T478_1232	K02936
SU86_007810	K02979
NDEV_1871	K02896
NDEV_1870	K00940
T478_1227	K03243
SU86_007835	K24956
SU86_007840	K01892
T478_1225	K03264
T478_1220	K04801
T478_1219	K09723
NDEV_1860	K10726
T478_1217	K03726
CENSYa_1719	K09791
T478_1203	K18855
NSED_01155	K00826
NPIRD3C_0643	K00528
NSED_01225	K02492
Nmar_0255	K03622
NSED_01190	K00239
SU86_007965	K00241
NADRNF5_1990	K00242
SU86_007975	K00240
NADRNF5_1987	K01755
NADRNF5_0135	K04719
NADRNF5_2095	K00368
T478_0211	K02274
T478_0210	K02275
SU86_007185	K15634
T478_0207	K06988
T478_0205	K14260
T478_0200	K08963
T478_0198	K15916
T478_0186	K15894
NADRNF5_2117	K18430
T478_0191	K13010
T478_0157	K01710
T478_0158	K00973
T478_0196	K03270
P9215_14781	K16044
T478_0199	K03271
NADRNF5_2115	K07257
NADRNF5_2125	K00997
SU86_006950	K17865
NPIRD3C_0070	K02078
T478_0166	K22278
SU86_006925	K01784
SU86_006920	K19002
SU86_006915	K01784
SU86_006760	K03686
T478_0108	K04043
NKOR_00225	K03687
NMSP_0097	K09726
NMSP_0097	K09726
