gene	speE	ferritin-like	gcvH	kat	proDH	metH	FDH	rocA	kal	LarA	pgi	pcm	alkA	Hef	Udg4	mpg	ogg	Hef	Udg5	POLD	ureA	nit2	ipct/dipps	CPA1	CPA2	CheA	cheB	cheY	cspC	cshA	FIaJ	HAAT	APC	mpnS	bioC	accC	accA
Thaumarchaeota_archaeon_strain_BS3	0	0	3	0	1	1	0	2	0	1	0	1	0	0	2	0	1	0	0	0	0	1	2	0	0	0	0	0	0	1	1	1	6	0	0	0	0
Thaumarchaeota_archaeon_UBA164	0	0	0	0	1	2	0	0	0	0	0	1	1	0	2	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	2	0	1	0	0	0	0
Thaumarchaeota_archaeon_strain_DS1	0	0	0	0	1	2	0	2	0	1	0	1	1	0	2	1	0	0	0	0	0	0	4	1	0	0	0	0	0	0	2	0	2	0	0	0	0
Thaumarchaeota_archaeon_UBA160	0	0	0	0	0	2	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	2	0	0	0	0
Unclassified_Thaumarchaeota_DRTY_7_bin_36	0	0	1	0	0	1	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	2	2	1	0	0	0	0
Thaumarchaeota_archaeon_UBA57	0	0	0	0	0	2	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Thaumarchaeota_bin_Fn1	0	0	1	0	1	0	0	1	0	0	0	0	2	0	0	2	1	0	0	0	0	0	2	0	0	0	0	0	0	1	1	1	2	0	0	0	0
Thaumarchaeota_archaeon_UBA183	0	0	1	0	1	0	0	1	0	0	0	0	1	0	1	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	1	0	0	0	0
Thaumarchaeota_archaeon_UBA141	0	0	1	0	0	4	0	1	0	0	0	1	1	0	1	1	1	0	0	0	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0
Thaumarchaeota_archaeon_RBG_16_49_8	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	1	2	0	1	0	1	1	0	2	0	0	0	0
MTA5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
