NADRNF5_2213	K01880
NKOR_00065	K01151
NMSP_0067	K18882
NPIRD3C_0155	K02683
NPIRD3C_0154	K09118
NSED_00035	K01951
NKOR_00100	K02991
NSED_00055	K03242
NSED_00060	K07158
NADRNF5_2201	K07151
NSED_00075	K11130
NADRNF5_2199	K03237
NSED_00085	K19221
NADRNF5_2197	K02224
Nmar_0080	K06042
NSED_00100	K03795
NPIRD3C_0140	K02189
NADRNF5_2193	K02188
NSED_00120	K00789
NADRNF5_2190	K04796
NADRNF5_2189	K04482
Nmar_0088	K03724
NPIRD3C_0131	K01990
NADRNF5_2184	K01992
NADRNF5_2182	K09726
NSED_00175	K03687
NSED_00180	K04043
NPIRD3C_0123	K03686
Nmar_0098	K05967
Nmar_0099	K03330
NSED_00210	K09482
NADRNF5_2173	K13525
NADRNF5_2172	K02886
NKOR_00275	K01512
NADRNF5_2167	K03926
NPIRD3C_0110	K06965
NSED_00265	K03709
NADRNF5_2161	K23356
NADRNF5_2160	K06937
SU86_006860	K01784
SU86_006865	K13015
SU86_006870	K01953
SU86_006870	K01953
NDEV_0228	K13010
PF1788	K01784
X802_00110	K04034
N186_08950	K01784
NSED_00295	K01791
Metfor_0439	K01784
A0128_07310	K02472
101292974	K03843
SU86_006990	K00067
NSED_10015	K01790
THII_1696	K01709
SU86_007015	K00978
BB0126	K01955
TherJR_2835	K01784
NADRNF5_2117	K18430
T478_0191	K13010
NADRNF5_2115	K07257
NMSP_0163	K10709
NMSP_0164	K07051
NDEV_1168	K00008
NSED_00490	K15916
NKOR_00550	K08963
Nmar_0173	K00059
MPHLCCUG_01535	K20276
NKOR_00680	K14260
NSED_00375	K06988
NMSP_1527	K15634
NPIRD3C_0530	K02275
NKOR_00715	K02274
Nmar_0192	K00826
NADRNF5_2066	K00928
NPIRD3C_0548	K02563
NKOR_00795	K06196
NADRNF5_2052	K03469
NSED_00830	K18593
NADRNF5_2050	K14534
NKOR_00865	K13280
NADRNF5_2047	K03671
Nmar_0214	K01464
Nmar_0218	K01807
NPIRD3C_0612	K04796
NSED_00935	K01470
NADRNF5_2037	K01433
NSED_00945	K15778
NADRNF5_2035	K02936
NKOR_00970	K02979
Nmar_0227	K02896
Nmar_0228	K00940
NPIRD3C_0620	K03243
NKOR_00990	K03671
NKOR_01005	K24956
NSED_01090	K01892
NKOR_01030	K03264
NKOR_01045	K04801
NSED_01115	K09723
NKOR_01055	K10726
NADRNF5_2006	K03726
NADRNF5_2005	K02851
NADRNF5_2002	K09791
NSED_01150	K18855
NADRNF5_2000	K00826
Nmar_0253	K00528
