Genomes	C-ARSC	N-ARSC	GC(%)	genome size(Mb)	coding density	genes number	Pseudogenes(%)	Group
Thaumarchaeota_archaeon_strain_BS3	3.034023969	0.335946403	0.425890035	1.485748	0.981961948	2169	0.078198045	Basal group
Thaumarchaeota_archaeon_strain_BS4	3.026056264	0.332180744	0.419208914	1.202119	0.899306142	1413	0.119077307	Basal group
Thaumarchaeota_archaeon_UBA141	2.915058702	0.34641945	0.459629895	1.688885	0.883380455	1709	0.067648663	Basal group
Thaumarchaeota_archaeon_UBA160	3.103695031	0.305601682	0.367151432	0.854732	0.874193314	922	0.044559585	Basal group
Thaumarchaeota_archaeon_UBA164	2.982528334	0.322975033	0.489997608	1.187522	0.907706131	1290	0.03803132	Basal group
Thaumarchaeota_archaeon_UBA183	2.842433627	0.342584799	0.616744096	0.80833	0.878805686	1091	0.165263963	Basal group
Thaumarchaeota_archaeon_UBA57	2.975438832	0.315214581	0.335393167	0.613362	0.891408336	661	0.10312076	Basal group
Thaumarchaeota_archaeon_strain_DS1	2.964460813	0.354040104	0.466458924	1.256683	0.901076087	1528	0.081178593	Basal group
Unclassified_Thaumarchaeota_DRTY_7_bin_36	2.957258219	0.353289053	0.465834152	1.16034	0.898904631	1431	0.073786408	Basal group
Thaumarchaeota_bin_Fn1	2.975223934	0.338999902	0.466456325	1.059544	0.891439147	1280	0.097320169	Basal group
Thaumarchaeota_archaeon_RBG_16-49-8	2.97157697	0.333243593	0.458290815	0.991501857	0.891933333	1171	0.086180114	Basal group
Nitrosocosmicus_hydrocola_strain_G61	3.026560409	0.324903748	0.339383171	2.989777	0.770469503	3206	0.069105691	Terrestrial group
Nitrosocosmicus_oleophilus_strain_MY3	3.034467775	0.328369731	0.341388041	3.430706	0.736980377	3739	0.077928483	Terrestrial group
Nitrososphaera_evergladensis_SR1	2.90555499	0.338924898	0.501404528	2.954373	0.83583928	3528	0.059450813	Terrestrial group
Nitrososphaera_gargensis_Ga9	2.950890191	0.349587899	0.48347206	2.833868	0.831262783	3768	0.129390018	Terrestrial group
Nitrososphaera_viennensis_EN76	2.903829001	0.340455069	0.527154543	2.527938	0.858581975	3015	0.074869592	Terrestrial group
Nitrosotalea_bavarica_SbT1	2.982676556	0.319810814	0.359831472	1.553159	0.89600292	1831	0.062947799	Terrestrial group
Nitrosotalea_devanaterra_Nd1	2.988529793	0.319977964	0.370673859	1.805304	0.905846328	2074	0.047312816	Terrestrial group
Nitrosotalea_koreensis_CS	2.990859996	0.325307487	0.374688884	1.972585	0.876467174	2330	0.072452229	Terrestrial group
Nitrosotalea_sinensis_Nd2	2.980848614	0.323692542	0.373669627	1.598048	0.910998919	1879	0.051967709	Terrestrial group
Nitrosotenuis_aquarius_strain_AQ6F	2.989849468	0.324557572	0.421841885	1.697207	0.924197814	2009	0.043333333	Terrestrial group
Nitrosotenuis_chungbukensis_MY2	2.990861496	0.3245351	0.41760396	1.762971	0.904599111	2047	0.044797014	Terrestrial group
Nitrosotenuis_cloacae_strain_SAT1	2.976321284	0.320153084	0.409969163	1.620156	0.920984152	1877	0.041368744	Terrestrial group
Thaumarchaeota_archaeon_N4	2.995272927	0.333464752	0.422460387	1.636125	0.913642906	1921	0.050420168	Terrestrial group
Thaumarchaeota_archaeon_SAT137	3.02450169	0.33528234	0.361256964	1.459682	0.873936241	1592	0.066822978	Terrestrial group
EGM_Bin1	3.063554351	0.315188572	0.33949831	3.671547	0.909124955	4788	0.134020619	Methane group
EGM_Bin2	3.057982971	0.312753936	0.341265249	3.573748	0.903223171	5563	0.170938897	Methane group
F	3.065324777	0.336681217	0.356256065	3.428329	0.828617382	5341	0.144618834	Methane group
HM45_Bin1	3.023600999	0.320187248	0.339504323	3.05602	0.904121701	4392	0.135262847	Methane group
HM45_Bin2	3.076440652	0.333250952	0.340574185	3.525552	0.857638747	6860	0.172696575	Methane group
HM58_Bin	3.059814706	0.326683405	0.334602671	3.660703	0.896211465	5514	0.150254276	Methane group
HM79_Bin	3.086492643	0.334210236	0.341659089	2.663462	0.844097644	3981	0.15081058	Methane group
HM81_Bin1	3.107398174	0.33475321	0.351479651	3.479604	0.839185149	5777	0.161173225	Methane group
HM81_Bin2	3.002480656	0.313812398	0.336731132	2.260385	0.918363465	3723	0.193981381	Methane group
HM82_Bin1	3.032612814	0.321681968	0.333949952	3.057536	0.906628736	4255	0.121956253	Methane group
HM82_Bin2	3.030100753	0.324053208	0.334019629	2.386725	0.910794499	3319	0.121027542	Methane group
SB_01	3.037970293	0.318887747	0.34214515	2.886427	0.872418738	4902	0.180952381	Methane group
SB_02	3.032240392	0.321632182	0.329429	2.417058	0.890164406	3470	0.123958596	Methane group
SMM_01	3.115399258	0.345934686	0.358129238	3.385102	0.855779826	5554	0.153224577	Methane group
XS83_01	3.04148596	0.322127712	0.336145025	2.720308	0.903237795	3865	0.122986158	Methane group
XS83_02	3.036562531	0.321721309	0.336058341	2.672286	0.904638201	3810	0.126547455	Methane group
XS87_01	3.055882181	0.329836898	0.340494049	3.264897	0.878806897	5437	0.167508804	Methane group
XS87_02	3.035948597	0.324823045	0.338647053	1.660168	0.898509669	2357	0.121505777	Methane group
AAA799-B03	3.022720467	0.322551453	0.337167359	1.003945	0.892881582	1345	0.081911263	Shallow water Part II
AAA799-D11	3.008865545	0.316503124	0.34288211	1.360636	0.905585329	1737	0.062601187	Shallow water Part II
AAA799-E16	3.014699476	0.321033532	0.341519908	1.415322	0.897389428	1909	0.079112397	Shallow water Part II
AAA799-N04	3.016324135	0.32397669	0.342138181	1.296717	0.8784222	1764	0.081728267	Shallow water Part II
AAA799-P11	3.021476842	0.321775303	0.337204488	1.081049	0.889551722	1432	0.102194357	Shallow water Part II
Nitrosarchaeum_koreense_MY1	3.023506314	0.317878769	0.326731127	1.607695	0.900839401	1925	0.06097561	Shallow water Part II
Nitrosarchaeum_limnium_BG20	3.029231397	0.319250659	0.324894897	1.855559	0.891826668	2586	0.138861139	Shallow water Part II
Nitrosarchaeum_limnium_SFB1	3.02962741	0.319138147	0.324616016	1.743235	0.893527264	2208	0.073436844	Shallow water Part II
Nitrosoarchaeum-Baikal-G1-C1	3.033916003	0.320490593	0.310225151	1.193764	0.897893553	1460	0.095415118	Shallow water Part II
Nitrosoarchaeum_sp_BD3	3.013995584	0.319458361	0.329950346	1.462514	0.881582672	1869	0.107023411	Shallow water Part II
Nitrosomarinus_catalina_strain_SPOT01	3.018465018	0.316516465	0.314372873	1.360076	0.918775127	1677	0.080592105	Shallow water Part II
Nitrosopumilus_adriaticus_strain_NF5	3.014306615	0.313221749	0.334068738	1.80309	0.901903399	2210	0.060773481	Shallow water Part II
Nitrosopumilus_koreensis_AR1	3.009184706	0.31548857	0.341831894	1.639964	0.901512472	2031	0.082655827	Shallow water Part II
Nitrosopumilus_maritimus_SCM1	3.000383865	0.310898996	0.34167508	1.645259	0.919567071	1947	0.085915493	Shallow water Part II
Nitrosopumilus_salaria_BD31	3.023485276	0.320543887	0.337940167	1.572957	0.895953291	2093	0.09039548	Shallow water Part II
Nitrosopumilus_sediminis_AR2	3.014485344	0.313737675	0.335886995	1.690905	0.899724112	2112	0.054187192	Shallow water Part II
Nitrosopumilus_sp_D3C	3.021320789	0.315925792	0.338204098	1.713078	0.899133606	2142	0.048845471	Shallow water Part II
Nitrosopumilus_sp_DDS1	3.024549355	0.313490424	0.331094912	1.737236	0.896391164	3027	0.139078498	Shallow water Part II
Nitrosopumilus_sp_Nsub	3.008805748	0.314845826	0.313978322	1.383621	0.884600624	1736	0.045629467	Shallow water Part II
Nitrosopelagicus_brevis_strain_CN25	2.928831399	0.317844963	0.331577563	1.232128	0.938501519	1470	0.032894737	Shallow water Part I
Nitrosopelagicus_brevis_U25	2.970855834	0.317871676	0.331784345	1.245544	0.938670171	1490	0.034348671	Shallow water Part I
Nitrosopelagicus_sp_REDSEA-S31_B2	2.941601862	0.319059459	0.340515075	1.009131	0.933065182	1347	0.063933287	Shallow water Part I
Candidatus_Nitrosopelagicus_sp_Isolate_GoM	2.955976738	0.321886766	0.340515075	1.009131	0.933065182	1247	0.073551263	Shallow water Part I
AAA001-A19	3.008110188	0.325592943	0.35708555	0.757824	0.881050217	1107	0.190197513	Deep water group
AAA007-N19	3.004098188	0.324769023	0.356336603	0.888323	0.879895038	1286	0.181413113	Deep water group
AAA007-O23	3.006083198	0.325982192	0.352022552	0.391966	0.869452963	1006	0.077910174	Deep water group
AAA288-D22	3.005944754	0.325575517	0.352022552	0.391966	0.869452963	706	0.305801377	Deep water group
AAA288-J14	2.989741968	0.325312821	0.358103878	0.682087	0.843135846	1069	0.211070111	Deep water group
AAA799-D07	3.019203176	0.322744203	0.339300052	0.435918	0.922737763	562	0.089141005	Deep water group
AAA799-O18	3.012089104	0.332193203	0.346839179	0.522767	0.71250098	693	0.114942529	Deep water group
Nitrosopumilales_archaeon_strain_NPMR_NP_delta_1	3.019508764	0.323473855	0.339975315	1.173997	0.90986178	1393	0.059419311	Deep sea sediment group
Nitrosopumilales_archaeon_strain_NPMR_NP_delta_2	3.013970553	0.330039075	0.338404045	0.610368	0.923709959	701	0.157451923	Deep sea sediment group
Nitrosopumilales_archaeon_strain_NPMR_NP_delta_3	3.016264221	0.326247919	0.342007657	0.936365	0.915001095	1110	0.109863673	Deep sea sediment group
Nitrosopumilales_archaeon_strain_NPMR_NP_iota_1	3.020103616	0.330585364	0.358254493	1.121898	0.9168837	1334	0.06056338	Deep sea sediment group
Nitrosopumilales_archaeon_strain_NPMR_NP_theta_1	3.016401987	0.323355331	0.350240301	1.521424	0.902071349	1849	0.059511699	Deep sea sediment group
Nitrosopumilales_archaeon_strain_NPMR_NP_theta_2	3.023012657	0.327762655	0.3492765	1.196682	0.902120196	1469	0.129223474	Deep sea sediment group
Nitrosopumilales_archaeon_strain_NPMR_NP_theta_3	3.01008868	0.324919438	0.34352705	1.069514	0.908821203	1370	0.197422378	Deep sea sediment group
Nitrosopumilales_archaeon_strain_NPMR_NP_theta_4	3.028110726	0.323978875	0.339808492	1.040901	0.910765769	1235	0.122245913	Deep sea sediment group
Nitrosopumilales_archaeon_strain_NPMR_NP_theta_5	3.010730115	0.330300544	0.351273675	0.69798	0.93463423	787	0.15738758	Deep sea sediment group
