Name	number_unique_genes	number_multiple_genes	number_missing_genes	list_unique_genes	list_multiple_genes	list_missing_genes
AAA288-D22_renamed	40	3	79	PF01655.13,PF01092.14,PF01000.21,PF00466.15,PF13685.1,PF02978.14,PF04919.7,PF01984.15,PF04104.9,PF00410.14,PF07541.7,PF00900.15,PF01090.14,PF01157.13,PF00687.16,PF03874.11,PF01200.13,TIGR01020,TIGR00291,TIGR00670,TIGR00021,TIGR01077,TIGR01080,TIGR00729,TIGR00240,TIGR00037,TIGR00335,TIGR00336,TIGR00522,TIGR02153,TIGR00323,TIGR00134,TIGR00658,TIGR03680,TIGR00264,TIGR01309,TIGR03653,TIGR00373,TIGR00425,TIGR00405	PF01496.14,PF01280.15,TIGR02338	PF01868.11,PF01282.14,PF00368.13,PF00827.12,PF01269.12,PF01015.13,PF01798.13,PF01864.12,PF01990.12,PF04019.7,PF02006.11,PF01191.14,PF01866.12,PF01198.14,PF01194.12,PF13656.1,TIGR00468,TIGR01060,TIGR03627,TIGR02258,TIGR00293,TIGR00389,TIGR01012,TIGR00490,TIGR03677,TIGR03636,TIGR03722,TIGR00458,TIGR00064,TIGR03629,TIGR03672,TIGR00111,TIGR03684,TIGR01213,TIGR00501,TIGR01038,TIGR00270,TIGR03628,TIGR01028,TIGR00521,TIGR03671,TIGR02390,TIGR02076,TIGR01025,TIGR00471,TIGR02651,TIGR03674,TIGR02236,TIGR03683,TIGR00491,TIGR00392,TIGR00422,TIGR00279,TIGR01052,TIGR00442,TIGR00308,TIGR00398,TIGR00456,TIGR00549,TIGR00408,TIGR00432,TIGR00982,TIGR00324,TIGR01952,TIGR03626,TIGR03670,TIGR00337,TIGR01046,TIGR01018,TIGR00936,TIGR00463,TIGR00042,TIGR02389,TIGR00307,TIGR03673,TIGR01008,TIGR00283,TIGR03665,TIGR00448
Thaumarchaeota_archaeon_UBA57_renamed	75	0	47	PF01868.11,PF01655.13,PF01000.21,PF00368.13,PF01269.12,PF00466.15,PF13685.1,PF02978.14,PF04919.7,PF01984.15,PF04104.9,PF00410.14,PF01798.13,PF01990.12,PF07541.7,PF04019.7,PF00900.15,PF01090.14,PF01157.13,PF00687.16,PF03874.11,PF01194.12,PF01200.13,PF13656.1,PF01280.15,TIGR00468,TIGR01060,TIGR01020,TIGR00293,TIGR01012,TIGR00490,TIGR03677,TIGR00458,TIGR00670,TIGR00064,TIGR00021,TIGR03672,TIGR00111,TIGR01077,TIGR01213,TIGR01080,TIGR00501,TIGR00729,TIGR01038,TIGR00521,TIGR00240,TIGR00037,TIGR00335,TIGR01025,TIGR00471,TIGR03674,TIGR00323,TIGR02236,TIGR03683,TIGR00491,TIGR00658,TIGR00279,TIGR01052,TIGR00442,TIGR00398,TIGR00549,TIGR00408,TIGR00432,TIGR00324,TIGR03626,TIGR01046,TIGR00936,TIGR00463,TIGR01309,TIGR03653,TIGR00373,TIGR00425,TIGR00405,TIGR03665,TIGR00448		PF01282.14,PF01092.14,PF00827.12,PF01015.13,PF01864.12,PF02006.11,PF01191.14,PF01866.12,PF01198.14,PF01496.14,TIGR03627,TIGR02258,TIGR00389,TIGR03636,TIGR03722,TIGR00291,TIGR03629,TIGR03684,TIGR00270,TIGR03628,TIGR01028,TIGR03671,TIGR02390,TIGR02338,TIGR02076,TIGR00336,TIGR00522,TIGR02153,TIGR02651,TIGR00134,TIGR03680,TIGR00392,TIGR00422,TIGR00308,TIGR00456,TIGR00264,TIGR00982,TIGR01952,TIGR03670,TIGR00337,TIGR01018,TIGR00042,TIGR02389,TIGR00307,TIGR03673,TIGR01008,TIGR00283
Nitrosopumilales_archaeon_strain_NPMR_NP_theta_5_renamed	81	3	38	PF01655.13,PF01092.14,PF01000.21,PF00368.13,PF01269.12,PF00466.15,PF02978.14,PF04919.7,PF01984.15,PF04104.9,PF00410.14,PF01798.13,PF01090.14,PF02006.11,PF01157.13,PF01191.14,PF01866.12,PF01198.14,PF00687.16,PF03874.11,PF13656.1,PF01280.15,TIGR00468,TIGR01060,TIGR01020,TIGR02258,TIGR00293,TIGR00389,TIGR01012,TIGR00291,TIGR00670,TIGR00064,TIGR03629,TIGR00021,TIGR00111,TIGR01077,TIGR01213,TIGR00729,TIGR01038,TIGR01028,TIGR00521,TIGR03671,TIGR00240,TIGR02390,TIGR02338,TIGR02076,TIGR00335,TIGR01025,TIGR00471,TIGR00336,TIGR02153,TIGR02651,TIGR00323,TIGR00134,TIGR02236,TIGR00658,TIGR03680,TIGR00392,TIGR00422,TIGR00279,TIGR01052,TIGR00456,TIGR00408,TIGR00432,TIGR00264,TIGR00982,TIGR01952,TIGR03626,TIGR03670,TIGR00337,TIGR01046,TIGR00936,TIGR00463,TIGR01309,TIGR00042,TIGR00307,TIGR00373,TIGR01008,TIGR00425,TIGR03665,TIGR00448	PF13685.1,TIGR00458,TIGR00324	PF01868.11,PF01282.14,PF00827.12,PF01015.13,PF01864.12,PF01990.12,PF07541.7,PF04019.7,PF00900.15,PF01496.14,PF01194.12,PF01200.13,TIGR03627,TIGR00490,TIGR03677,TIGR03636,TIGR03722,TIGR03672,TIGR03684,TIGR01080,TIGR00501,TIGR00270,TIGR03628,TIGR00037,TIGR00522,TIGR03674,TIGR03683,TIGR00491,TIGR00442,TIGR00308,TIGR00398,TIGR00549,TIGR01018,TIGR03653,TIGR02389,TIGR03673,TIGR00283,TIGR00405
Marine_Group_1_thaumarchaeote_sp_SCGC_AAA288_P02_renamed	38	7	77	PF01092.14,PF00827.12,PF04104.9,PF07541.7,PF04019.7,PF01090.14,PF01191.14,PF01198.14,PF01194.12,PF13656.1,TIGR01060,TIGR02258,TIGR00389,TIGR01012,TIGR00458,TIGR03672,TIGR01213,TIGR01038,TIGR03671,TIGR01025,TIGR00336,TIGR00522,TIGR02153,TIGR00134,TIGR03680,TIGR00398,TIGR00549,TIGR00432,TIGR00264,TIGR00982,TIGR01952,TIGR03670,TIGR00936,TIGR00042,TIGR00373,TIGR01008,TIGR00283,TIGR00448	PF00368.13,PF13685.1,PF02978.14,PF00410.14,PF00900.15,TIGR01080,TIGR01018	PF01868.11,PF01282.14,PF01655.13,PF01000.21,PF01269.12,PF00466.15,PF01015.13,PF04919.7,PF01984.15,PF01798.13,PF01864.12,PF01990.12,PF02006.11,PF01157.13,PF01866.12,PF01496.14,PF00687.16,PF03874.11,PF01200.13,PF01280.15,TIGR00468,TIGR03627,TIGR01020,TIGR00293,TIGR00490,TIGR03677,TIGR03636,TIGR03722,TIGR00291,TIGR00670,TIGR00064,TIGR03629,TIGR00021,TIGR00111,TIGR03684,TIGR01077,TIGR00501,TIGR00729,TIGR00270,TIGR03628,TIGR01028,TIGR00521,TIGR00240,TIGR02390,TIGR02338,TIGR00037,TIGR02076,TIGR00335,TIGR00471,TIGR02651,TIGR03674,TIGR00323,TIGR02236,TIGR03683,TIGR00491,TIGR00658,TIGR00392,TIGR00422,TIGR00279,TIGR01052,TIGR00442,TIGR00308,TIGR00456,TIGR00408,TIGR00324,TIGR03626,TIGR00337,TIGR01046,TIGR00463,TIGR01309,TIGR03653,TIGR02389,TIGR00307,TIGR03673,TIGR00425,TIGR00405,TIGR03665
Nitrosopumilales_archaeon_strain_NPMR_NP_delta_3_renamed	73	2	47	PF01655.13,PF01000.21,PF00368.13,PF01015.13,PF13685.1,PF02978.14,PF01984.15,PF04104.9,PF01990.12,PF07541.7,PF04019.7,PF00900.15,PF01090.14,PF02006.11,PF01191.14,PF01866.12,PF01198.14,PF01194.12,PF01200.13,PF13656.1,TIGR00468,TIGR01060,TIGR01020,TIGR02258,TIGR00293,TIGR00490,TIGR03677,TIGR00458,TIGR00291,TIGR00670,TIGR00064,TIGR03629,TIGR00021,TIGR00111,TIGR01213,TIGR00501,TIGR01028,TIGR00521,TIGR03671,TIGR00240,TIGR02390,TIGR00037,TIGR02076,TIGR00335,TIGR00471,TIGR00336,TIGR00522,TIGR02153,TIGR02651,TIGR00134,TIGR00491,TIGR00658,TIGR03680,TIGR00279,TIGR00456,TIGR00549,TIGR00408,TIGR00432,TIGR00264,TIGR00982,TIGR00324,TIGR01952,TIGR00337,TIGR01046,TIGR01018,TIGR00936,TIGR00463,TIGR01309,TIGR00042,TIGR00307,TIGR00373,TIGR00283,TIGR00448	PF01496.14,TIGR01012	PF01868.11,PF01282.14,PF01092.14,PF00827.12,PF01269.12,PF00466.15,PF04919.7,PF00410.14,PF01798.13,PF01864.12,PF01157.13,PF00687.16,PF03874.11,PF01280.15,TIGR03627,TIGR00389,TIGR03636,TIGR03722,TIGR03672,TIGR03684,TIGR01077,TIGR01080,TIGR00729,TIGR01038,TIGR00270,TIGR03628,TIGR02338,TIGR01025,TIGR03674,TIGR00323,TIGR02236,TIGR03683,TIGR00392,TIGR00422,TIGR01052,TIGR00442,TIGR00308,TIGR00398,TIGR03626,TIGR03670,TIGR03653,TIGR02389,TIGR03673,TIGR01008,TIGR00425,TIGR00405,TIGR03665
Nitrosopelagicus_sp_REDSEA-S31_B2_renamed	95	5	22	PF01868.11,PF01655.13,PF01092.14,PF01000.21,PF00368.13,PF00827.12,PF00466.15,PF01015.13,PF02978.14,PF04919.7,PF01984.15,PF04104.9,PF00410.14,PF01798.13,PF07541.7,PF04019.7,PF00900.15,PF01090.14,PF02006.11,PF01157.13,PF01191.14,PF01198.14,PF01496.14,PF00687.16,PF03874.11,PF01194.12,PF01200.13,PF13656.1,PF01280.15,TIGR00468,TIGR01060,TIGR01020,TIGR02258,TIGR00293,TIGR00389,TIGR01012,TIGR03677,TIGR00291,TIGR00670,TIGR00064,TIGR00021,TIGR00111,TIGR01077,TIGR01213,TIGR01080,TIGR00501,TIGR00729,TIGR01038,TIGR03628,TIGR01028,TIGR00521,TIGR03671,TIGR00240,TIGR02338,TIGR02076,TIGR00335,TIGR01025,TIGR00471,TIGR00336,TIGR00522,TIGR02153,TIGR02651,TIGR03674,TIGR00134,TIGR02236,TIGR03683,TIGR00491,TIGR00658,TIGR00392,TIGR00422,TIGR00279,TIGR01052,TIGR00442,TIGR00308,TIGR00398,TIGR00456,TIGR00549,TIGR00408,TIGR00982,TIGR01952,TIGR03626,TIGR01046,TIGR01018,TIGR00936,TIGR00463,TIGR01309,TIGR03653,TIGR00307,TIGR00373,TIGR01008,TIGR00283,TIGR00425,TIGR00405,TIGR03665,TIGR00448	PF01269.12,PF13685.1,TIGR00458,TIGR00324,TIGR00337	PF01282.14,PF01864.12,PF01990.12,PF01866.12,TIGR03627,TIGR00490,TIGR03636,TIGR03722,TIGR03629,TIGR03672,TIGR03684,TIGR00270,TIGR02390,TIGR00037,TIGR00323,TIGR03680,TIGR00432,TIGR00264,TIGR03670,TIGR00042,TIGR02389,TIGR03673
Nitrosopumilales_archaeon_strain_NPMR_NP_theta_4_renamed	79	8	35	PF01868.11,PF01655.13,PF01092.14,PF00368.13,PF01269.12,PF00466.15,PF01015.13,PF13685.1,PF01984.15,PF04104.9,PF01798.13,PF07541.7,PF04019.7,PF01090.14,PF01191.14,PF01866.12,PF01198.14,PF00687.16,PF03874.11,PF01194.12,PF13656.1,PF01280.15,TIGR01060,TIGR01020,TIGR02258,TIGR00389,TIGR00490,TIGR00670,TIGR00064,TIGR03629,TIGR03672,TIGR00111,TIGR03684,TIGR01080,TIGR00501,TIGR00729,TIGR01038,TIGR03671,TIGR02338,TIGR00037,TIGR00335,TIGR01025,TIGR00336,TIGR00522,TIGR02153,TIGR02651,TIGR03674,TIGR00323,TIGR00134,TIGR02236,TIGR03683,TIGR00658,TIGR00392,TIGR00422,TIGR00279,TIGR00308,TIGR00398,TIGR00549,TIGR00408,TIGR00432,TIGR00264,TIGR00982,TIGR01952,TIGR03626,TIGR00337,TIGR01046,TIGR01018,TIGR00936,TIGR00463,TIGR01309,TIGR02389,TIGR00307,TIGR00373,TIGR01008,TIGR00283,TIGR00425,TIGR00405,TIGR03665,TIGR00448	PF04919.7,PF01157.13,TIGR00293,TIGR01012,TIGR00458,TIGR00021,TIGR01028,TIGR00324	PF01282.14,PF01000.21,PF00827.12,PF02978.14,PF00410.14,PF01864.12,PF01990.12,PF00900.15,PF02006.11,PF01496.14,PF01200.13,TIGR00468,TIGR03627,TIGR03677,TIGR03636,TIGR03722,TIGR00291,TIGR01077,TIGR01213,TIGR00270,TIGR03628,TIGR00521,TIGR00240,TIGR02390,TIGR02076,TIGR00471,TIGR00491,TIGR03680,TIGR01052,TIGR00442,TIGR00456,TIGR03670,TIGR03653,TIGR00042,TIGR03673
Candidatus_Nitrosopelagicus_sp_Isolate_GoM_renamed	77	6	39	PF01868.11,PF01655.13,PF01092.14,PF01000.21,PF00368.13,PF00827.12,PF01015.13,PF02978.14,PF01798.13,PF07541.7,PF04019.7,PF02006.11,PF01191.14,PF01198.14,PF01496.14,PF00687.16,PF01194.12,PF01200.13,PF13656.1,PF01280.15,TIGR00468,TIGR01060,TIGR01020,TIGR02258,TIGR00293,TIGR00389,TIGR01012,TIGR03677,TIGR00458,TIGR00291,TIGR00670,TIGR00064,TIGR00111,TIGR01077,TIGR01213,TIGR01080,TIGR00501,TIGR00729,TIGR01038,TIGR01028,TIGR00521,TIGR03671,TIGR00240,TIGR02338,TIGR00037,TIGR00335,TIGR01025,TIGR00336,TIGR00522,TIGR02651,TIGR03683,TIGR00491,TIGR00658,TIGR00392,TIGR00279,TIGR00442,TIGR00308,TIGR00456,TIGR00549,TIGR00432,TIGR00264,TIGR00982,TIGR01952,TIGR03626,TIGR00337,TIGR01046,TIGR00936,TIGR00463,TIGR01309,TIGR00042,TIGR02389,TIGR00307,TIGR01008,TIGR00425,TIGR00405,TIGR03665,TIGR00448	PF01269.12,PF13685.1,TIGR02153,TIGR00134,TIGR01052,TIGR00324	PF01282.14,PF00466.15,PF04919.7,PF01984.15,PF04104.9,PF00410.14,PF01864.12,PF01990.12,PF00900.15,PF01090.14,PF01157.13,PF01866.12,PF03874.11,TIGR03627,TIGR00490,TIGR03636,TIGR03722,TIGR03629,TIGR00021,TIGR03672,TIGR03684,TIGR00270,TIGR03628,TIGR02390,TIGR02076,TIGR00471,TIGR03674,TIGR00323,TIGR02236,TIGR03680,TIGR00422,TIGR00398,TIGR00408,TIGR03670,TIGR01018,TIGR03653,TIGR03673,TIGR00373,TIGR00283
Unclassified_Thaumarchaeota_DRTY_7_bin_36_renamed	104	4	14	PF01868.11,PF01282.14,PF01655.13,PF01092.14,PF01000.21,PF00827.12,PF01269.12,PF00466.15,PF01015.13,PF02978.14,PF04919.7,PF01984.15,PF04104.9,PF00410.14,PF01798.13,PF07541.7,PF04019.7,PF00900.15,PF01090.14,PF01157.13,PF01191.14,PF01866.12,PF01198.14,PF01496.14,PF00687.16,PF03874.11,PF01194.12,PF01200.13,PF13656.1,PF01280.15,TIGR00468,TIGR03627,TIGR01020,TIGR02258,TIGR00293,TIGR00389,TIGR01012,TIGR00490,TIGR03677,TIGR03636,TIGR03722,TIGR00458,TIGR00291,TIGR00670,TIGR00064,TIGR00021,TIGR03672,TIGR00111,TIGR03684,TIGR01077,TIGR01080,TIGR00501,TIGR00729,TIGR01038,TIGR00270,TIGR01028,TIGR03671,TIGR00240,TIGR02390,TIGR02338,TIGR00037,TIGR02076,TIGR00335,TIGR01025,TIGR00471,TIGR00336,TIGR00522,TIGR02153,TIGR03674,TIGR00323,TIGR00134,TIGR02236,TIGR03683,TIGR00491,TIGR00658,TIGR03680,TIGR00422,TIGR00279,TIGR01052,TIGR00308,TIGR00456,TIGR00549,TIGR00408,TIGR00432,TIGR00264,TIGR00982,TIGR01952,TIGR03626,TIGR03670,TIGR00337,TIGR01046,TIGR01018,TIGR00936,TIGR00463,TIGR01309,TIGR03653,TIGR00042,TIGR00307,TIGR00373,TIGR01008,TIGR00425,TIGR00405,TIGR03665,TIGR00448	PF13685.1,TIGR01060,TIGR00398,TIGR00324	PF00368.13,PF01864.12,PF01990.12,PF02006.11,TIGR03629,TIGR01213,TIGR03628,TIGR00521,TIGR02651,TIGR00392,TIGR00442,TIGR02389,TIGR03673,TIGR00283
Nitrosopumilales_archaeon_strain_NPMR_NP_delta_1_renamed	89	7	26	PF01655.13,PF01092.14,PF01000.21,PF00368.13,PF00827.12,PF01269.12,PF00466.15,PF02978.14,PF04919.7,PF01984.15,PF04104.9,PF00410.14,PF01798.13,PF01990.12,PF07541.7,PF04019.7,PF00900.15,PF01090.14,PF02006.11,PF01157.13,PF01866.12,PF01198.14,PF01496.14,PF00687.16,PF03874.11,PF01200.13,PF13656.1,PF01280.15,TIGR00468,TIGR01020,TIGR02258,TIGR00293,TIGR00389,TIGR01012,TIGR00490,TIGR03677,TIGR00291,TIGR00670,TIGR00064,TIGR00021,TIGR03672,TIGR00111,TIGR01077,TIGR01213,TIGR00501,TIGR00729,TIGR01038,TIGR03628,TIGR00521,TIGR03671,TIGR00240,TIGR02338,TIGR00037,TIGR02076,TIGR00335,TIGR01025,TIGR00471,TIGR00336,TIGR00522,TIGR02153,TIGR03674,TIGR00323,TIGR00134,TIGR02236,TIGR03683,TIGR00491,TIGR00658,TIGR03680,TIGR00422,TIGR00279,TIGR01052,TIGR00442,TIGR00308,TIGR00398,TIGR00456,TIGR00408,TIGR00264,TIGR00324,TIGR03626,TIGR00337,TIGR01046,TIGR01309,TIGR00307,TIGR00373,TIGR01008,TIGR00425,TIGR00405,TIGR03665,TIGR00448	PF01868.11,PF13685.1,TIGR00458,TIGR01080,TIGR02651,TIGR00936,TIGR00283	PF01282.14,PF01015.13,PF01864.12,PF01191.14,PF01194.12,TIGR01060,TIGR03627,TIGR03636,TIGR03722,TIGR03629,TIGR03684,TIGR00270,TIGR01028,TIGR02390,TIGR00392,TIGR00549,TIGR00432,TIGR00982,TIGR01952,TIGR03670,TIGR01018,TIGR00463,TIGR03653,TIGR00042,TIGR02389,TIGR03673
